timestamp_nano,timestamp_iso,symbol,contributors_active,contributors_created,interactions,posts_active,posts_created,sentiment,spam,alt_rank,circulating_supply,close,galaxy_score,high,low,market_cap,market_dominance,open,social_dominance,volume_24h,market_categories
1750928400000000000,2025-06-26T09:00:00.000000000Z,ETHUSDT-LINEAR,12610,394,1320649,22974,712,84,7701,28,120718270,2465.2553,65,2465.3495,2464.82,297665532028,8.9957,2465.0772,9.4693,18472813148,"[""layer-1""]"
1750932000000000000,2025-06-26T10:00:00.000000000Z,ETHUSDT-LINEAR,12634,457,1402808,23121,706,84,8070,37,120718270,2458.86,64,2458.86,2449.86,296800555217,9.0139,2458.86,9.5116,19368563495,"[""layer-1""]"
1750935600000000000,2025-06-26T11:00:00.000000000Z,ETHUSDT-LINEAR,13205,485,1572627,23866,714,84,8192,46,120718270,2450.77,64,2450.77,2443.2,295848979964,8.9877,2450.77,9.2263,18191823478,"[""layer-1""]"
1750939200000000000,2025-06-26T12:00:00.000000000Z,ETHUSDT-LINEAR,13019,629,1453560,23557,927,84,8290,36,120718270,2446.24,63,2446.24,2435.61,295466750175,8.9815,2446.24,9.4778,18484184642,"[""layer-1""]"
1750942800000000000,2025-06-26T13:00:00.000000000Z,ETHUSDT-LINEAR,13604,579,1601959,24740,956,84,8916,92,120718270,2434.88,48,2434.88,2425.98,294356012983,8.973,2434.88,9.6053,18278494665,"[""layer-1""]"
1750946400000000000,2025-06-26T14:00:00.000000000Z,ETHUSDT-LINEAR,13668,629,1552035,25043,934,84,9179,34,120718270,2451.09,68,2451.09,2424.22,296205541890,9.0565,2431.92,9.6036,18576234978,"[""layer-1""]"
1750950000000000000,2025-06-26T15:00:00.000000000Z,ETHUSDT-LINEAR,13661,732,1618673,24903,1124,84,8949,40,120718270,2429.38,62,2429.38,2411.25,293190060285,8.921,2429.38,9.4555,17540761948,"[""layer-1""]"
1750953600000000000,2025-06-26T16:00:00.000000000Z,ETHUSDT-LINEAR,13673,635,1519044,24745,899,84,8773,49,120718270,2425.53,62,2425.53,2420.55,292915523162,8.9303,2425.76,9.2842,18293742912,"[""layer-1""]"
1750957200000000000,2025-06-26T17:00:00.000000000Z,ETHUSDT-LINEAR,13499,637,1622685,24289,931,84,8395,52,120718270,2428.9,67,2428.9,2422.07,293216771732,8.9572,2425.67,9.1595,16686864566,"[""layer-1""]"
1750960800000000000,2025-06-26T18:00:00.000000000Z,ETHUSDT-LINEAR,13165,508,1590726,23646,783,84,8143,44,120718270,2425.14,62,2425.14,2419.54,292739102372,8.9387,2422.14,9.0468,18067917131,"[""layer-1""]"
1750964400000000000,2025-06-26T19:00:00.000000000Z,ETHUSDT-LINEAR,12998,525,1402812,23224,763,84,7919,50,120718270,2439.73,66,2439.73,2424.0,294496211807,8.9813,2426.48,9.0011,16948545374,"[""layer-1""]"
