timestamp_nano,timestamp_iso,symbol,contributors_active,contributors_created,interactions,posts_active,posts_created,sentiment,spam,alt_rank,circulating_supply,close,galaxy_score,high,low,market_cap,market_dominance,open,social_dominance,volume_24h,market_categories
1738404000000000000,2025-02-01T10:00:00.000000000Z,SOLUSDT-LINEAR,9645,244,1976094,19212,382,84,7367,457,486870127,227.99,72,227.99,226.57,110999111202,3.1933,227.16,10.6742,3927596025,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738407600000000000,2025-02-01T11:00:00.000000000Z,SOLUSDT-LINEAR,10034,261,1989139,19814,443,84,7594,339,486869788,227.59648,72,227.39,226.41,110743169670,3.1855,226.58,10.7929,3870950365,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738411200000000000,2025-02-01T12:00:00.000000000Z,SOLUSDT-LINEAR,10004,310,1938817,20005,453,84,7658,344,486869611,228.01,72,228.01,227.47,111029480598,3.1812,227.47,10.8352,3783929194,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738414800000000000,2025-02-01T13:00:00.000000000Z,SOLUSDT-LINEAR,10198,292,2113697,20335,525,85,7832,410,486869201,228.86,72,228.86,227.14,111474616257,3.1849,228.86,10.8588,3702152302,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738418400000000000,2025-02-01T14:00:00.000000000Z,SOLUSDT-LINEAR,10084,340,2198973,20172,492,85,7837,1590,486868977,227.66,71,227.66,225.43,110806075341,3.183,227.13,10.7622,3649077702,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738422000000000000,2025-02-01T15:00:00.000000000Z,SOLUSDT-LINEAR,10238,296,2299991,20519,418,85,7773,414,486868471,226.36562,71,226.31,225.14,110181765102,3.1679,225.43,10.5408,3515400190,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738425600000000000,2025-02-01T16:00:00.000000000Z,SOLUSDT-LINEAR,10354,344,2356241,20723,480,85,7919,355,486868191,225.4,71,225.86,225.4,109944857960,3.1535,225.86,10.8365,3371108974,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738429200000000000,2025-02-01T17:00:00.000000000Z,SOLUSDT-LINEAR,10225,347,2252739,20826,562,84,7956,966,486867340,226.87,71,226.87,225.09,110510459885,3.177,225.39,10.8446,3331826923,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738432800000000000,2025-02-01T18:00:00.000000000Z,SOLUSDT-LINEAR,10321,339,2432380,20737,574,84,7762,647,486866989,226.79,71,226.79,224.66,110390790893,3.1611,226.79,10.8614,3094314223,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738436400000000000,2025-02-01T19:00:00.000000000Z,SOLUSDT-LINEAR,10290,278,2339768,20841,467,84,7899,147,486866156,222.24,71,222.24,221.53,108239269122,3.1133,222.24,10.86,3057159750,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738440000000000000,2025-02-01T20:00:00.000000000Z,SOLUSDT-LINEAR,10194,317,2389082,20574,557,83,7875,222,486865554,217.4,71,217.4,217.03,105850396768,3.0649,217.4,10.9077,3202390877,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738443600000000000,2025-02-01T21:00:00.000000000Z,SOLUSDT-LINEAR,10100,276,2275751,20571,552,83,7890,531,486865189,218.83,71,218.83,216.2,106570587008,3.0992,218.67,10.9734,3251546252,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738447200000000000,2025-02-01T22:00:00.000000000Z,SOLUSDT-LINEAR,10122,272,2236760,20544,534,82,7881,411,486864375,215.75007,71,215.93,214.53,104877585709,3.0553,215.93,10.8912,3374925596,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738450800000000000,2025-02-01T23:00:00.000000000Z,SOLUSDT-LINEAR,10055,290,2093581,20367,410,83,7747,117,486864010,214.17,71,214.17,213.44,104365069549,3.0602,214.17,11.1059,3546350864,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738454400000000000,2025-02-02T00:00:00.000000000Z,SOLUSDT-LINEAR,9808,229,2149742,19712,461,83,7473,1255,486868514,216.78,70,216.5,212.85,105147787871,3.0882,213.78,11.0604,3707792450,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738458000000000000,2025-02-02T01:00:00.000000000Z,SOLUSDT-LINEAR,9642,229,1827047,19431,504,83,7454,100,486868233,218.26,70,218.26,216.99,106199611622,3.0943,216.99,10.9254,3720451909,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738461600000000000,2025-02-02T02:00:00.000000000Z,SOLUSDT-LINEAR,9764,191,1855381,19474,439,83,7441,174,486867710,215.63,70,215.63,214.17,105190510738,3.0653,215.63,10.8794,3691669256,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738465200000000000,2025-02-02T03:00:00.000000000Z,SOLUSDT-LINEAR,9437,253,1822823,18884,391,82,7192,211,486867264,209.03,70,209.03,207.67,101905498074,2.9977,209.03,11.1513,4105344897,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738468800000000000,2025-02-02T04:00:00.000000000Z,SOLUSDT-LINEAR,9188,165,2018403,18383,352,83,7096,1830,486866855,210.11,71,210.11,207.2,102302653730,3.05,207.67,10.9426,4349667159,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738472400000000000,2025-02-02T05:00:00.000000000Z,SOLUSDT-LINEAR,9404,159,1825478,18778,394,83,7273,242,486866271,212.51847,71,212.03,208.62,103175617752,3.0634,208.66,11.1254,4603504173,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738476000000000000,2025-02-02T06:00:00.000000000Z,SOLUSDT-LINEAR,9296,140,2285284,18673,214,82,7258,430,486866016,213.36,71,213.36,212.31,103906190722,3.0593,212.57,11.0372,4696967908,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738479600000000000,2025-02-02T07:00:00.000000000Z,SOLUSDT-LINEAR,9460,150,1961039,18892,353,82,7320,1329,486865666,211.76856,71,211.67,211.57,103047417538,3.0357,211.67,11.1415,4751365663,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738483200000000000,2025-02-02T08:00:00.000000000Z,SOLUSDT-LINEAR,9421,214,1876271,18763,343,82,7418,1413,486865517,213.22,72,213.22,211.39,103653842802,3.0705,211.72,10.9478,4899715090,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738486800000000000,2025-02-02T09:00:00.000000000Z,SOLUSDT-LINEAR,9415,224,1904845,18905,378,82,7598,87,486984183,213.71055,72,213.87,213.33,104164051496,3.0751,213.87,11.0244,4883258330,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738490400000000000,2025-02-02T10:00:00.000000000Z,SOLUSDT-LINEAR,9369,203,2224665,18829,312,82,7437,402,486984053,212.2124,72,212.06,211.61,103267910754,3.0536,212.06,11.1471,4887273201,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738494000000000000,2025-02-02T11:00:00.000000000Z,SOLUSDT-LINEAR,9525,236,2135411,18910,352,82,7484,478,486983780,208.61,72,208.61,208.31,101482829160,3.0116,208.61,10.9245,5017337854,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738497600000000000,2025-02-02T12:00:00.000000000Z,SOLUSDT-LINEAR,9598,266,2370150,19128,410,82,7627,416,486983647,210.48,72,210.48,208.72,102440697876,3.0666,209.36,11.0167,5125627810,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738501200000000000,2025-02-02T13:00:00.000000000Z,SOLUSDT-LINEAR,9608,256,2261072,19095,343,82,7553,148,486983297,211.56,72,211.56,208.54,102829356391,3.0987,208.82,10.7049,5258778758,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738504800000000000,2025-02-02T14:00:00.000000000Z,SOLUSDT-LINEAR,9711,257,2561192,19284,369,83,7541,341,486983098,213.53934,72,213.54,212.57,104073245797,3.109,212.57,10.7552,5273043149,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738508400000000000,2025-02-02T15:00:00.000000000Z,SOLUSDT-LINEAR,9700,259,2801645,19404,386,83,7556,95,486982642,211.31,72,211.31,210.3,103040102697,3.0678,211.31,10.6374,5292752579,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738512000000000000,2025-02-02T16:00:00.000000000Z,SOLUSDT-LINEAR,9892,303,2650713,19640,459,82,7654,465,486982407,210.11,72,210.11,206.44,102337519029,3.0508,210.11,10.4136,5492708593,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738515600000000000,2025-02-02T17:00:00.000000000Z,SOLUSDT-LINEAR,9806,339,2624029,19495,475,82,7547,456,486981721,204.77,72,204.77,202.83,99720424298,3.0252,204.77,10.5012,6016663348,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738519200000000000,2025-02-02T18:00:00.000000000Z,SOLUSDT-LINEAR,9749,316,2628474,19169,469,83,7374,116,486981443,202.04,71,202.04,198.25,98369339503,3.0305,202.04,10.6034,6667601181,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738522800000000000,2025-02-02T19:00:00.000000000Z,SOLUSDT-LINEAR,9822,299,2630845,19418,548,83,7512,14,486980788,201.93,71,201.93,195.79,97862631391,3.0349,198.24,10.6408,7372434586,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738526400000000000,2025-02-02T20:00:00.000000000Z,SOLUSDT-LINEAR,9737,285,2195256,19370,426,83,7436,51,486980531,205.45,71,205.45,202.49,100239463718,3.061,203.37,10.7999,7361865369,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738530000000000000,2025-02-02T21:00:00.000000000Z,SOLUSDT-LINEAR,9661,259,2012625,19149,429,83,7388,58,486978414,201.77628,70,201.83,201.63,98806214860,3.0308,201.83,10.5562,7591786531,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
