timestamp_nano,timestamp_iso,symbol,open,high,low,close,volume
1710503100000000000,2024-03-15T11:45:00+00:00,SOLUSDT-LINEAR,169.3366,171.2071,169.1916,170.2202,5379.0
1710504000000000000,2024-03-15T12:00:00+00:00,SOLUSDT-LINEAR,170.2202,170.9475,168.3918,169.3751,10450.4
1710504900000000000,2024-03-15T12:15:00+00:00,SOLUSDT-LINEAR,169.3751,171.6713,168.4457,171.2217,8490.8
1710505800000000000,2024-03-15T12:30:00+00:00,SOLUSDT-LINEAR,171.2217,173.7774,171.1314,171.7002,15943.5
1710506700000000000,2024-03-15T12:45:00+00:00,SOLUSDT-LINEAR,171.7002,172.917,170.26,172.2588,8558.5
1710507600000000000,2024-03-15T13:00:00+00:00,SOLUSDT-LINEAR,172.2588,177.2764,171.9117,175.5,23536.0
1710508500000000000,2024-03-15T13:15:00+00:00,SOLUSDT-LINEAR,175.5,176.7676,174.2424,176.3807,12170.2
1710509400000000000,2024-03-15T13:30:00+00:00,SOLUSDT-LINEAR,176.3807,182.838,175.2208,181.8315,36970.0
1710510300000000000,2024-03-15T13:45:00+00:00,SOLUSDT-LINEAR,181.8315,184.4273,181.1733,182.1535,32997.2
1710511200000000000,2024-03-15T14:00:00+00:00,SOLUSDT-LINEAR,182.1535,183.241,180.0,181.6986,25472.7
1710512100000000000,2024-03-15T14:15:00+00:00,SOLUSDT-LINEAR,181.6986,182.4742,179.6336,179.7665,13654.3
1710513000000000000,2024-03-15T14:30:00+00:00,SOLUSDT-LINEAR,179.7665,180.573,178.55,180.0546,14980.9
1710513900000000000,2024-03-15T14:45:00+00:00,SOLUSDT-LINEAR,180.0546,182.4753,179.4208,182.3069,10706.4
1710514800000000000,2024-03-15T15:00:00+00:00,SOLUSDT-LINEAR,182.3069,183.3442,180.9167,181.6567,16196.1
1710515700000000000,2024-03-15T15:15:00+00:00,SOLUSDT-LINEAR,181.6567,184.3302,181.022,182.8065,14531.5
1710516600000000000,2024-03-15T15:30:00+00:00,SOLUSDT-LINEAR,182.8065,184.3941,182.5608,183.0219,12802.5
1710517500000000000,2024-03-15T15:45:00+00:00,SOLUSDT-LINEAR,183.0219,183.0289,180.8915,181.5692,12609.4
1710518400000000000,2024-03-15T16:00:00+00:00,SOLUSDT-LINEAR,181.5692,182.5,177.9893,179.1029,24742.7
1710519300000000000,2024-03-15T16:15:00+00:00,SOLUSDT-LINEAR,179.1029,181.208,178.5299,180.4434,10982.7
1710520200000000000,2024-03-15T16:30:00+00:00,SOLUSDT-LINEAR,180.4434,183.5228,179.8119,183.0628,14166.8
1710521100000000000,2024-03-15T16:45:00+00:00,SOLUSDT-LINEAR,183.0628,183.941,180.9384,180.9923,12699.2
1710522000000000000,2024-03-15T17:00:00+00:00,SOLUSDT-LINEAR,180.9923,181.8208,178.7735,180.0177,11302.0
1710522900000000000,2024-03-15T17:15:00+00:00,SOLUSDT-LINEAR,180.0177,182.0628,179.4146,182.007,10005.4
1710523800000000000,2024-03-15T17:30:00+00:00,SOLUSDT-LINEAR,182.007,183.0,181.0086,181.0468,7401.7
1710524700000000000,2024-03-15T17:45:00+00:00,SOLUSDT-LINEAR,181.0468,181.8816,179.9001,181.4434,7055.0
1710525600000000000,2024-03-15T18:00:00+00:00,SOLUSDT-LINEAR,181.4434,182.4823,180.7243,180.9653,4770.7
1710526500000000000,2024-03-15T18:15:00+00:00,SOLUSDT-LINEAR,180.9653,182.5,180.3403,182.49,6548.5
1710527400000000000,2024-03-15T18:30:00+00:00,SOLUSDT-LINEAR,182.49,187.4854,182.3653,186.4196,22507.3
1710528300000000000,2024-03-15T18:45:00+00:00,SOLUSDT-LINEAR,186.4196,188.3086,186.1,186.7022,22246.1
1710529200000000000,2024-03-15T19:00:00+00:00,SOLUSDT-LINEAR,186.7022,189.084,186.5295,188.2818,18705.7
1710530100000000000,2024-03-15T19:15:00+00:00,SOLUSDT-LINEAR,188.2818,188.7481,186.2757,187.838,14434.0
1710531000000000000,2024-03-15T19:30:00+00:00,SOLUSDT-LINEAR,187.838,188.3734,185.1099,186.221,12559.4
1710531900000000000,2024-03-15T19:45:00+00:00,SOLUSDT-LINEAR,186.221,186.4474,181.6257,183.3219,21895.1
1710532800000000000,2024-03-15T20:00:00+00:00,SOLUSDT-LINEAR,183.3219,183.4481,178.22,179.9016,22312.7
1710533700000000000,2024-03-15T20:15:00+00:00,SOLUSDT-LINEAR,179.9016,181.3615,179.1263,179.9717,10383.7
1710534600000000000,2024-03-15T20:30:00+00:00,SOLUSDT-LINEAR,179.9717,180.0645,175.7046,176.8303,15943.7
1710535500000000000,2024-03-15T20:45:00+00:00,SOLUSDT-LINEAR,176.8303,177.3641,175.1919,176.9495,10425.2
1710536400000000000,2024-03-15T21:00:00+00:00,SOLUSDT-LINEAR,176.9495,180.0,176.3661,178.7353,17100.8
1710537300000000000,2024-03-15T21:15:00+00:00,SOLUSDT-LINEAR,178.7353,179.3303,177.5474,177.7962,6182.6
1710538200000000000,2024-03-15T21:30:00+00:00,SOLUSDT-LINEAR,177.7962,179.3364,177.2214,178.3397,5981.4
1710539100000000000,2024-03-15T21:45:00+00:00,SOLUSDT-LINEAR,178.3397,179.8293,176.5974,179.7557,8008.1
1710540000000000000,2024-03-15T22:00:00+00:00,SOLUSDT-LINEAR,179.7557,180.9786,178.9045,180.8497,7782.0
1710540900000000000,2024-03-15T22:15:00+00:00,SOLUSDT-LINEAR,180.8497,182.221,179.9429,180.5,9597.5
1710541800000000000,2024-03-15T22:30:00+00:00,SOLUSDT-LINEAR,180.5,182.1428,179.4506,182.0064,12462.9
1710542700000000000,2024-03-15T22:45:00+00:00,SOLUSDT-LINEAR,182.0064,184.375,181.2523,184.375,9463.3
1710543600000000000,2024-03-15T23:00:00+00:00,SOLUSDT-LINEAR,184.375,184.4586,181.909,183.9492,12468.4
1710544500000000000,2024-03-15T23:15:00+00:00,SOLUSDT-LINEAR,183.9492,183.9987,182.2193,183.7742,8248.4
1710545400000000000,2024-03-15T23:30:00+00:00,SOLUSDT-LINEAR,183.7742,185.8261,182.9091,185.4903,9056.2
1710546300000000000,2024-03-15T23:45:00+00:00,SOLUSDT-LINEAR,185.4903,185.4903,182.3664,184.1684,10119.6
1710547200000000000,2024-03-16T00:00:00+00:00,SOLUSDT-LINEAR,184.1684,184.7567,182.3718,182.9381,8371.1
1710548100000000000,2024-03-16T00:15:00+00:00,SOLUSDT-LINEAR,182.9381,184.0768,181.9,182.0501,6142.2
1710549000000000000,2024-03-16T00:30:00+00:00,SOLUSDT-LINEAR,182.0501,182.1113,180.3791,180.7894,8313.3
1710549900000000000,2024-03-16T00:45:00+00:00,SOLUSDT-LINEAR,180.7894,181.9221,180.6272,181.2849,3500.8
1710550800000000000,2024-03-16T01:00:00+00:00,SOLUSDT-LINEAR,181.2849,181.7759,180.6082,180.7556,2723.6
1710551700000000000,2024-03-16T01:15:00+00:00,SOLUSDT-LINEAR,180.7556,183.4305,180.6089,182.5809,5367.2
1710552600000000000,2024-03-16T01:30:00+00:00,SOLUSDT-LINEAR,182.5809,184.2043,181.9898,184.1084,5858.5
1710553500000000000,2024-03-16T01:45:00+00:00,SOLUSDT-LINEAR,184.1084,186.911,183.212,185.3996,11975.8
1710554400000000000,2024-03-16T02:00:00+00:00,SOLUSDT-LINEAR,185.3996,186.0,184.061,184.3157,4169.9
1710555300000000000,2024-03-16T02:15:00+00:00,SOLUSDT-LINEAR,184.3157,185.4701,183.8993,185.3084,3032.6
1710556200000000000,2024-03-16T02:30:00+00:00,SOLUSDT-LINEAR,185.3084,186.0928,183.5825,186.0928,5163.4
1710557100000000000,2024-03-16T02:45:00+00:00,SOLUSDT-LINEAR,186.0928,186.34,184.8903,186.1746,5216.3
1710558000000000000,2024-03-16T03:00:00+00:00,SOLUSDT-LINEAR,186.1746,187.313,185.4761,187.313,9508.8
1710558900000000000,2024-03-16T03:15:00+00:00,SOLUSDT-LINEAR,187.313,187.843,186.6613,187.3492,7288.6
1710559800000000000,2024-03-16T03:30:00+00:00,SOLUSDT-LINEAR,187.3492,189.1404,187.3406,189.1404,8293.7
1710560700000000000,2024-03-16T03:45:00+00:00,SOLUSDT-LINEAR,189.1404,189.1405,187.3623,187.5,7455.8
1710561600000000000,2024-03-16T04:00:00+00:00,SOLUSDT-LINEAR,187.5,187.5116,186.1489,186.5662,5676.2
1710562500000000000,2024-03-16T04:15:00+00:00,SOLUSDT-LINEAR,186.5662,188.1314,186.5091,188.0298,4154.7
1710563400000000000,2024-03-16T04:30:00+00:00,SOLUSDT-LINEAR,188.0298,189.7823,187.0,189.2089,10864.7
1710564300000000000,2024-03-16T04:45:00+00:00,SOLUSDT-LINEAR,189.2089,189.7681,187.6365,187.8649,7389.8
1710565200000000000,2024-03-16T05:00:00+00:00,SOLUSDT-LINEAR,187.8649,188.8525,186.9007,187.1658,6856.9
1710566100000000000,2024-03-16T05:15:00+00:00,SOLUSDT-LINEAR,187.1658,187.3559,185.1678,186.197,8460.1
1710567000000000000,2024-03-16T05:30:00+00:00,SOLUSDT-LINEAR,186.197,192.4,186.0,191.9211,26816.8
1710567900000000000,2024-03-16T05:45:00+00:00,SOLUSDT-LINEAR,191.9211,192.8259,190.6573,192.3346,12225.0
1710568800000000000,2024-03-16T06:00:00+00:00,SOLUSDT-LINEAR,192.3346,192.3346,191.0697,191.9333,6599.8
1710569700000000000,2024-03-16T06:15:00+00:00,SOLUSDT-LINEAR,191.9333,192.0378,190.1846,190.4578,9700.2
1710570600000000000,2024-03-16T06:30:00+00:00,SOLUSDT-LINEAR,190.4578,190.5559,188.2047,189.4045,11975.0
1710571500000000000,2024-03-16T06:45:00+00:00,SOLUSDT-LINEAR,189.4045,190.653,189.2075,189.5338,5184.6
1710572400000000000,2024-03-16T07:00:00+00:00,SOLUSDT-LINEAR,189.5338,192.6417,189.4212,191.6288,9971.2
1710573300000000000,2024-03-16T07:15:00+00:00,SOLUSDT-LINEAR,191.6288,193.2202,190.5999,191.7952,10369.9
1710574200000000000,2024-03-16T07:30:00+00:00,SOLUSDT-LINEAR,191.7952,193.2059,191.305,192.6535,8724.7
1710575100000000000,2024-03-16T07:45:00+00:00,SOLUSDT-LINEAR,192.6535,193.8076,192.3002,192.8864,10644.6
1710576000000000000,2024-03-16T08:00:00+00:00,SOLUSDT-LINEAR,192.8864,194.2049,192.0415,193.756,10913.6
1710576900000000000,2024-03-16T08:15:00+00:00,SOLUSDT-LINEAR,193.756,193.9066,192.5667,192.9631,7278.0
1710577800000000000,2024-03-16T08:30:00+00:00,SOLUSDT-LINEAR,192.9631,193.8356,192.6109,193.1773,6181.5
1710578700000000000,2024-03-16T08:45:00+00:00,SOLUSDT-LINEAR,193.1773,193.5,191.2265,191.7001,12157.4
1710579600000000000,2024-03-16T09:00:00+00:00,SOLUSDT-LINEAR,191.7001,193.8807,191.391,193.6008,9666.0
1710580500000000000,2024-03-16T09:15:00+00:00,SOLUSDT-LINEAR,193.6008,194.4623,193.1,193.1905,11242.8
1710581400000000000,2024-03-16T09:30:00+00:00,SOLUSDT-LINEAR,193.1905,194.2418,192.5582,193.9336,8760.9
1710582300000000000,2024-03-16T09:45:00+00:00,SOLUSDT-LINEAR,193.9336,194.8586,193.6357,194.4093,10987.4
1710583200000000000,2024-03-16T10:00:00+00:00,SOLUSDT-LINEAR,194.4093,195.28,193.4784,195.0797,13026.4
1710584100000000000,2024-03-16T10:15:00+00:00,SOLUSDT-LINEAR,195.0797,196.366,194.6215,195.5788,16841.4
1710585000000000000,2024-03-16T10:30:00+00:00,SOLUSDT-LINEAR,195.5788,198.1148,195.5788,196.0441,26683.7
1710585900000000000,2024-03-16T10:45:00+00:00,SOLUSDT-LINEAR,196.0441,196.8558,195.0696,196.0062,14748.8
1710586800000000000,2024-03-16T11:00:00+00:00,SOLUSDT-LINEAR,196.0062,196.8591,192.305,193.2629,28521.3
1710587700000000000,2024-03-16T11:15:00+00:00,SOLUSDT-LINEAR,193.2629,194.1891,190.7539,191.3815,30712.7
1710588600000000000,2024-03-16T11:30:00+00:00,SOLUSDT-LINEAR,191.3815,193.7395,190.3258,193.3027,23787.8
1710589500000000000,2024-03-16T11:45:00+00:00,SOLUSDT-LINEAR,193.3027,194.6003,192.7282,192.8936,11058.8
1710590400000000000,2024-03-16T12:00:00+00:00,SOLUSDT-LINEAR,192.8936,192.8936,190.874,191.9014,18228.3
1710591300000000000,2024-03-16T12:15:00+00:00,SOLUSDT-LINEAR,191.9014,193.1621,190.3258,190.7185,12148.9
1710592200000000000,2024-03-16T12:30:00+00:00,SOLUSDT-LINEAR,190.7185,191.5441,188.5,190.5913,21129.9
1710593100000000000,2024-03-16T12:45:00+00:00,SOLUSDT-LINEAR,190.5913,191.4909,190.0203,191.2666,8394.6
1710594000000000000,2024-03-16T13:00:00+00:00,SOLUSDT-LINEAR,191.2666,193.5,191.0127,191.898,13976.7
1710594900000000000,2024-03-16T13:15:00+00:00,SOLUSDT-LINEAR,191.898,193.066,191.2213,192.1563,11939.1
1710595800000000000,2024-03-16T13:30:00+00:00,SOLUSDT-LINEAR,192.1563,193.7211,191.4631,191.7014,10336.3
1710596700000000000,2024-03-16T13:45:00+00:00,SOLUSDT-LINEAR,191.7014,192.5794,188.6175,189.0297,22121.2
1710597600000000000,2024-03-16T14:00:00+00:00,SOLUSDT-LINEAR,189.0297,191.2212,187.9515,189.5627,16539.0
1710598500000000000,2024-03-16T14:15:00+00:00,SOLUSDT-LINEAR,189.5627,191.3904,189.3917,190.0269,9518.1
1710599400000000000,2024-03-16T14:30:00+00:00,SOLUSDT-LINEAR,190.0269,190.987,188.8215,190.4811,9952.9
1710600300000000000,2024-03-16T14:45:00+00:00,SOLUSDT-LINEAR,190.4811,191.017,188.2687,190.7274,11465.2
1710601200000000000,2024-03-16T15:00:00+00:00,SOLUSDT-LINEAR,190.7274,192.5021,189.9493,191.9709,9418.4
1710602100000000000,2024-03-16T15:15:00+00:00,SOLUSDT-LINEAR,191.9709,193.1292,191.7102,192.9591,9646.6
1710603000000000000,2024-03-16T15:30:00+00:00,SOLUSDT-LINEAR,192.9591,194.2,192.2916,193.9,12881.4
1710603900000000000,2024-03-16T15:45:00+00:00,SOLUSDT-LINEAR,193.9,196.1173,193.9,195.0647,17928.1
1710604800000000000,2024-03-16T16:00:00+00:00,SOLUSDT-LINEAR,195.0647,195.7143,193.8482,194.0253,12664.0
1710605700000000000,2024-03-16T16:15:00+00:00,SOLUSDT-LINEAR,194.0253,194.1607,192.2797,192.6991,11719.6
1710606600000000000,2024-03-16T16:30:00+00:00,SOLUSDT-LINEAR,192.6991,193.0753,191.613,192.3816,7417.9
1710607500000000000,2024-03-16T16:45:00+00:00,SOLUSDT-LINEAR,192.3816,192.9,191.2048,192.9,7068.9
1710608400000000000,2024-03-16T17:00:00+00:00,SOLUSDT-LINEAR,192.9,193.404,190.0041,190.1,10182.3
1710609300000000000,2024-03-16T17:15:00+00:00,SOLUSDT-LINEAR,190.1,190.1856,188.2,188.2,16797.5
1710610200000000000,2024-03-16T17:30:00+00:00,SOLUSDT-LINEAR,188.2,188.7705,186.2,186.585,17870.2
1710611100000000000,2024-03-16T17:45:00+00:00,SOLUSDT-LINEAR,186.585,188.7872,182.5,188.6302,37080.8
1710612000000000000,2024-03-16T18:00:00+00:00,SOLUSDT-LINEAR,188.6302,189.5546,183.2908,186.1207,22095.6
1710612900000000000,2024-03-16T18:15:00+00:00,SOLUSDT-LINEAR,186.1207,187.4476,183.7025,184.4431,18696.3
1710613800000000000,2024-03-16T18:30:00+00:00,SOLUSDT-LINEAR,184.4431,185.7805,181.75,183.1915,21319.9
1710614700000000000,2024-03-16T18:45:00+00:00,SOLUSDT-LINEAR,183.1915,184.7197,181.1594,183.474,16343.5
1710615600000000000,2024-03-16T19:00:00+00:00,SOLUSDT-LINEAR,183.474,186.6378,183.4435,185.4838,14496.3
1710616500000000000,2024-03-16T19:15:00+00:00,SOLUSDT-LINEAR,185.4838,186.0576,183.8371,185.0221,8739.3
1710617400000000000,2024-03-16T19:30:00+00:00,SOLUSDT-LINEAR,185.0221,185.5446,181.9696,182.2359,8242.3
1710618300000000000,2024-03-16T19:45:00+00:00,SOLUSDT-LINEAR,182.2359,182.2359,178.8451,180.4759,22921.6
1710619200000000000,2024-03-16T20:00:00+00:00,SOLUSDT-LINEAR,180.4759,181.2832,179.2968,179.4484,8998.5
1710620100000000000,2024-03-16T20:15:00+00:00,SOLUSDT-LINEAR,179.4484,181.8852,177.1383,181.1753,22150.4
1710621000000000000,2024-03-16T20:30:00+00:00,SOLUSDT-LINEAR,181.1753,185.9235,181.0572,184.7583,17473.5
1710621900000000000,2024-03-16T20:45:00+00:00,SOLUSDT-LINEAR,184.7583,186.1168,182.8194,183.2878,12762.8
1710622800000000000,2024-03-16T21:00:00+00:00,SOLUSDT-LINEAR,183.2878,184.8661,181.0673,182.7031,12899.1
1710623700000000000,2024-03-16T21:15:00+00:00,SOLUSDT-LINEAR,182.7031,182.7185,177.8993,178.4938,14316.0
1710625500000000000,2024-03-16T21:45:00+00:00,SOLUSDT-LINEAR,179.8189,181.4759,179.8189,180.7521,4367.4
1710626400000000000,2024-03-16T22:00:00+00:00,SOLUSDT-LINEAR,180.7521,181.0947,177.9,179.8374,9116.1
1710627300000000000,2024-03-16T22:15:00+00:00,SOLUSDT-LINEAR,179.8374,182.0184,179.2451,181.9136,5060.7
1710628200000000000,2024-03-16T22:30:00+00:00,SOLUSDT-LINEAR,181.9136,184.1117,181.5371,183.3964,6743.7
1710629100000000000,2024-03-16T22:45:00+00:00,SOLUSDT-LINEAR,183.3964,183.7603,180.29,181.3394,8035.9
1710630000000000000,2024-03-16T23:00:00+00:00,SOLUSDT-LINEAR,181.3394,181.3394,177.2339,178.2669,12393.0
